,Day,Case_by_time,Death_by_time,recovered_by_time
208,28/07/2021,76908,452,692
209,29/07/2021,81500,641,692
210,30/07/2021,85782,900,692
211,31/07/2021,89962,989,692
212,01/08/2021,94031,989,692
213,02/08/2021,98295,1343,692
214,03/08/2021,102466,1674,692
215,04/08/2021,105766,1891,692
216,05/08/2021,109652,2105,692
217,06/08/2021,113712,2324,692
218,07/08/2021,117642,2324,692
219,08/08/2021,121540,2744,692
220,09/08/2021,125533,3013,692
221,10/08/2021,129490,3321,692
222,11/08/2021,132906,3582,692
223,12/08/2021,136756,3807,692
224,13/08/2021,140288,4030,692
225,14/08/2021,144519,4315,692
226,15/08/2021,149035,4597,692
227,16/08/2021,152376,4912,692
228,17/08/2021,155941,5197,692
229,18/08/2021,159674,5452,692
230,19/08/2021,164099,5759,692
231,20/08/2021,167476,6071,692
232,21/08/2021,171581,6071,692
233,22/08/2021,175994,6670,692
234,23/08/2021,180245,7010,692
235,24/08/2021,184879,7302,692
236,25/08/2021,190174,7568,692
237,26/08/2021,194108,7810,692
238,27/08/2021,199492,8097,692
239,28/08/2021,204973,8368,692
240,29/08/2021,209932,8624,692
241,30/08/2021,215821,8869,692
242,31/08/2021,221268,8869,692
243,01/09/2021,226636,9527,692
244,02/09/2021,232600,9724,692
245,03/09/2021,241110,9974,692
246,04/09/2021,245708,10230,692
247,05/09/2021,251934,10452,692
248,06/09/2021,259056,10685,692
249,07/09/2021,266366,10938,692
250,08/09/2021,273674,11206,692
251,09/09/2021,279223,11409,692
252,10/09/2021,286762,11604,692
253,11/09/2021,292391,11792,692
254,12/09/2021,298549,11992,692
255,13/09/2021,303995,12220,692
256,14/09/2021,310307,12419,692
257,15/09/2021,315608,12608,692
258,16/09/2021,321343,12768,692
259,17/09/2021,327315,12934,692
260,18/09/2021,331552,13099,692
261,19/09/2021,337048,13281,692
262,20/09/2021,342219,13444,692
263,21/09/2021,348740,13628,692
264,22/09/2021,354175,13809,692
265,23/09/2021,359227,13984,692
266,24/09/2021,363013,14124,692
267,25/09/2021,367059,14248,692
268,26/09/2021,372180,14379,692
269,27/09/2021,376314,14501,692
270,28/09/2021,376691,14632,692
271,29/09/2021,381390,14745,692
272,30/09/2021,385762,14851,692
273,01/10/2021,389432,14946,692
274,02/10/2021,392155,15069,692
275,03/10/2021,394616,15148,692
276,04/10/2021,397106,15241,692
277,05/10/2021,398597,15345,692
278,06/10/2021,400557,15433,692
279,07/10/2021,402287,15525,692
280,08/10/2021,404502,15603,692
281,09/10/2021,406164,15677,692
282,10/10/2021,407231,15759,692
283,11/10/2021,408758,15834,692
284,12/10/2021,409776,15898,692
285,13/10/2021,410938,15971,692
286,14/10/2021,411847,16032,692
287,15/10/2021,412978,16093,692
288,16/10/2021,413768,16151,692
289,17/10/2021,414827,16189,692
290,18/10/2021,415795,16240,692
291,19/10/2021,416702,16287,692
292,20/10/2021,418049,16330,692
293,21/10/2021,419304,16371,692
294,22/10/2021,420509,16404,692
295,23/10/2021,421258,16446,692
296,24/10/2021,422224,16476,692
297,25/10/2021,423193,16516,692
298,26/10/2021,423976,16543,692
299,27/10/2021,425116,16575,692
300,28/10/2021,426185,16600,692
301,29/10/2021,427162,16632,692
302,30/10/2021,428204,16662,692
303,31/10/2021,429245,16683,692
304,01/11/2021,430172,16708,692
305,02/11/2021,430854,16739,692
306,03/11/2021,431839,16779,692
307,04/11/2021,432820,16807,692
308,05/11/2021,433732,16840,692
309,06/11/2021,434718,16872,692
310,07/11/2021,435727,16903,692
311,08/11/2021,437043,16938,692
312,09/11/2021,438319,16976,692
313,10/11/2021,439733,17019,692
314,11/11/2021,440918,17057,0
315,12/11/2021,442306,17099,0
316,13/11/2021,443546,17137,0
317,14/11/2021,444531,17159,0
318,15/11/2021,445696,17204,0
319,16/11/2021,446879,17239,0
320,17/11/2021,448216,17265,0
321,18/11/2021,449825,17307,0
322,19/11/2021,451164,17362,0
323,20/11/2021,452210,17404,0
324,21/11/2021,453475,17404,0
325,22/11/2021,455022,17513,0
326,23/11/2021,456226,17575,0
327,24/11/2021,457892,17637,0
328,25/11/2021,459474,17687,0
329,26/11/2021,461283,17738,0
330,27/11/2021,463056,17795,0
331,28/11/2021,464510,17857,0
332,29/11/2021,469570,17908,0
333,30/11/2021,471069,17967,0
334,01/12/2021,472745,18028,0
335,02/12/2021,474483,18099,0
336,03/12/2021,475795,18160,0
337,04/12/2021,477431,18224,0
338,05/12/2021,478923,18289,0
339,06/12/2021,480104,18375,0
340,07/12/2021,481070,18428,0
341,08/12/2021,482545,18494,0
342,09/12/2021,483998,18558,0
343,10/12/2021,485232,18619,0
344,11/12/2021,486673,18679,0
345,12/12/2021,487890,18748,0
346,13/12/2021,488807,18813,0
347,14/12/2021,489798,18872,0
348,15/12/2021,491069,18935,0
349,16/12/2021,492244,18993,0
350,17/12/2021,493285,19042,0
351,18/12/2021,494304,19042,0
352,19/12/2021,495318,19094,0
353,20/12/2021,496005,19144,0
354,21/12/2021,496818,19190,0
355,22/12/2021,497797,19229,0
356,23/12/2021,498587,19263,0
357,24/12/2021,499268,19298,0
358,25/12/2021,500153,19333,0
359,26/12/2021,500697,19365,0
360,27/12/2021,501258,19389,0
361,28/12/2021,501930,19418,0
362,29/12/2021,502632,19455,0
363,30/12/2021,504024,19485,0
364,31/12/2021,504583,19512,0
365,01/01/2022,505154,19539,0
